"category_id","category_name"
"46C","ЭКОРОЛЛ"
"T04","Кухонные комбайны"
"Q00","Бытовая техника (разное)"
"Q24","Шпагат"
"P28","Одежда"
"4C5","Заказной кирпич"
"Q34","Мягкие игрушки"
"O09","Шнуры малярные, карандаши"
"302","Поддоны группа П-2"
"400","Битумная черепица"
"4E0","Вагонка сухая м3"
"Q15","Лестницы, стремянки"
"P29","Ср-ва пожарной безопаснсти"
"G05","Клей для дерева, паркета, ламината"
"PC39","Охота"
"PC16","Запчасти для бензо-электр.инструмента"
"PC81","Чемоданы, сумки"
"PC61","Средства пожарной безопасности"
"PC33","Новый Год"
"PC79","Упаковка, хобби"
"PC58","Скобяные изделия"
"PC74","Товары для сада и отдыха"
"PC71","Товары для дома и интерьера"
"PC24","Краска и малярный инструмент"
"PC45","Поликарбонат"
"PC84","Элементы нагревательные"
"PC66","Сыпучие смеси и сайдинг"
"PC41","Пепси-кола"
"PC7","Бытовая техника2"
"PC11","Газобетон"
"PC76","Товары для сада и отдыха2"
"PC69","Товары для детей"
"PC82","Электроинструмент"
"PC52","Рыбалка"
"PC25","ЛДСП"
"PC78","товары для спорта и туризма"
"PC31","Напольные покрытия"
"PC29","Мебель"
"PC70","Товары для дома и декора"
"PC68","Теплоизоляция"
"PC5","Бочки,фляги,канистры"
"PC50","Ручной инструмент"
"PC2","Автошины"
"PC23","Климат и отопление"
"PC9","Велосипеды"
"PC75","Товары для сада и отдыха1"
"PC60","Спец-средства"
"PC22","Клей"
"PC28","Малярный инструмент"
"PC6","Бытовая техника"
"PC59","Скобяные изделия1"
"PC27","Локальные очистные сооружения"
"PC49","Ремонт"
"PC38","Отделка"
"PC32","НЕ ИСПОЛЬЗУЕМ"
"PC85","НЕ ИСПОЛЬЗУЕМ"
"PC47","Принадлежности для бензоэлектроинстр"
"PC83","Электротовары"
"PC56","Системы ограждения"
"PC36","Одежда зимняя"
"PC13","Емкости для воды и топлива"
"PC44","Плитка"
"PC37","Освещение"
"PC46","Посуда и утварь кухонная"
"PC1","Автотовары"
"PC65","Строительные материалы2"
"PC42","Печатные издания"
"PC12","Газовое оборудование"
"PC48","Расходники для инструмента"
"PC73","товары для зимнего и летнего спорта"
"PC18","Канцтовары и упаковка"
"PC4","Аудио-Видео и орг. техника"
"PC80","Хозяйственные товары для дома"
"PC64","Строительные материалы1"
"PC34","Обувь и средства по уходу"
"PC35","Одежда"
"PC3","Антенны, разветвители, сумматоры, делит"
"PC8","Бытовая химия"
"PC63","Строительные материалы"
"PC14","ЖБИ"
"PC54","Сетка кладочная"
"PC40","Пакеты п/э"
"PC43","Пиротехника"
"PC67","Текстильные товары"
"PC15","Жевательные резинки, конфеты"
"PC77","Товары для сада и отдыха3"
"PC19","Керамзит"
"PC17","Интерьер"
"PC26","Лодки"
"PC62","Строительное оборудование"
"PC55","Системы закрытого дренажа"
"PC51","Ручной инструмент_2"
"PC53","Сантехника"
"PC57","Системы поверхностного водоотвода"
"PC21","Клеенки, скатерти"
"PC10","Вимос производство"
"PC30","Мототехника"
"PC72","Товары для животных"
"PC20","Кирпич"
"813","Шиномонтаж услуги"
"808","Изготовление ключей"
"819","Работа манипулятора"
"821","Кофейные и снэковые аппараты"
"811","Распил пиломатериалов"
"815","Карты Вимос"
"0","Нераспределенные товары"
"814","Услуги населению"
"822","Ингмар товар и доставка"
"806","Предоплаты стройка"
"810","Распил листовых пиломатериалов"
"817","Прочие доставки"
"816","Аренда транспорта"
"812","Колеровка услуги"
"802","Ремонт металлоизделий"
"800","Услуги хозка"
"807","Резка стекла"
"805","Предоплаты хозка"
"820","Предоплата физ лиц"
"801","Резка металлопроката"
"804","Доставка"
"818","Доставка по Санкт-Петербургу"
"803","Прочие услуги"
"M789","исправить!"
"I03","Лампы КЛ энергосберегающие"
"000","Нераспределенные  товары"
"D09","Болты,гайки,винты,шайбы,заклепки"
"R08","Аксессуары для сада и дачи"
"Q12","Елочные украшения"
"R20","Тачки, комплектующие"
"R06","Пруды, бассейны"
"423","Вагонка осиновая"
"D30","Скобяные изделия"
"P00","Наборы инструментов"
"B03","Добавки строительные"
"H10","Ночники"
"450","Вимос-Производство ЖБИ"
"4I0","Откатные ворота"
"B04","Выравниватели для пола"
"M04","Пилки,полотна,лезвия,ножи"
"436","Corrubit"
"N13","Принадлежности для электроинструмента"
"447","Трубы водопроводные ПНД и фитинги"
"K23","Покрытие щетинистое"
"479","Кровельная вентиляция"
"M01","Заклепки, скобы, гвозди для степлера"
"D16","Тросы"
"P18","Рулетки"
"H04","Светильники для уличного освещения"
"J13","Удлинители,фильтры сетевые"
"D05","Гвозди"
"98209","трубы?"
